id,nome_sito,prezzo_sito,prezzo_gipo_ultimo,data_ultima_fattura,prezzo_gipo_modale,n_fatture_12m,esito
istologia-apparato-urogenitale-polipectomia-endoce,ISTOLOGIA APPARATO UROGENITALE - POLIPECTOMIA ENDOCERVICALE,150.0,50.0,2025-12-18,50.0,1,MISMATCH
istologia-cute-e-o-tessuti-molli-biopsia-escission,ISTOLOGIA CUTE E/O TESSUTI MOLLI - BIOPSIA ESCISSIONALE,50.0,,,,0,NO_DATI_GIPO
jack-2,JACK-2,130.0,,,,0,NO_DATI_GIPO
jak-2,Jak-2,130.0,,,,0,NO_DATI_GIPO
kir-affinitymap,KIR Affinitymap,235.0,235.0,2025-10-29,235.0,1,OK
kir-affinitymap-hla-c,KIR Affinitymap + HLA-C,400.0,,,,0,NO_DATI_GIPO
kiwi-ige-specifiche,KIWI (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
kwikpen-2-5-mg-mj-pack-obesita,KWIKPEN 2.5 MG MJ PACK OBESITA',346.58,,,,0,NO_DATI_GIPO
lac-lupus-anticoagulant,LAC (LUPUS ANTICOAGULANT),15.0,15.0,2026-06-24,15.0,17,OK
lamotrigina,LAMOTRIGINA,23.9,23.9,2026-04-29,23.9,2,OK
lanciuola-plantago-lanceolata-ige-specifiche,LANCIUOLA (PLANTAGO LANCEOLATA) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
latte-bollito-ige-specifiche,LATTE BOLLITO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
latte-vaccino-ige-specifiche,LATTE Vaccino (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
lattice-ige-specifiche,LATTICE (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
latticodeidrogenasi-ldh,LATTICODEIDROGENASI (LDH),2.1,2.1,2026-06-19,2.1,79,OK
lattoalbumina-di-mucca-ige-specifiche,LATTOALBUMINA DI MUCCA (igE specifiche),15.0,15.0,2025-08-07,15.0,1,OK
lattoferrina-fecale,LATTOFERRINA FECALE,65.9,,,,0,NO_DATI_GIPO
lattuga-ige-specifiche,LATTUGA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
ldl-ossidate,LDL OSSIDATE,95.0,95.0,2026-06-18,95.0,17,OK
lenticchia-ige-specifiche,LENTICCHIA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
lepidoglyphus-destructor-ige-specifiche,LEPIDOGLYPHUS DESTRUCTOR (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
leptina,LEPTINA,100.2,,,,0,NO_DATI_GIPO
levetiracetam-keppra,LEVETIRACETAM (KEPPRA),65.0,65.0,2026-03-28,65.0,1,OK
lievito-acido-naturale-ige-specifiche,LIEVITO ACIDO NATURALE (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
ligustro-ligustrum-vulgare-ige-specifiche,LIGUSTRO (LIGUSTRUM VULGARE) (IgE SPECIFICHE),14.0,,,,0,NO_DATI_GIPO
limone-ige-specifiche,LIMONE (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
lipasi,LIPASI,4.6,4.6,2026-06-29,4.6,176,OK
lipoproteina-a,LIPOPROTEINA A,20.0,20.0,2026-06-25,20.0,33,OK
lipoproteine-profilo-lipoprint,Lipoproteine Profilo LIPOPRINT,260.0,,,,0,NO_DATI_GIPO
lisozima,LISOZIMA,60.9,,,,0,NO_DATI_GIPO
litio,LITIO,8.5,8.5,2026-06-03,8.5,4,OK
loglierella-lolium-perenne-ige-specifiche,LOGLIERELLA (LOLIUM PERENNE) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
macroprolattina,MACROPROLATTINA,250.0,,,,0,NO_DATI_GIPO
mad-x-fox,MAD X FOX,350.0,350.0,2025-08-07,350.0,1,OK
magnesio,MAGNESIO,3.7,3.7,2026-06-29,3.7,121,OK
magnesio-eritrocitario,MAGNESIO ERITROCITARIO,18.0,18.0,2026-02-14,18.0,1,OK
magnesio-urine-24h,MAGNESIO URINE 24H,6.3,6.3,2026-03-13,6.3,1,OK
mais-ige-specifiche,MAIS (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
malattia-del-rene-policistico-autonomia-recessiva,MALATTIA DEL RENE POLICISTICO (autonomia recessiva),690.0,,,,0,NO_DATI_GIPO
malattie-genetiche-14-ricerca-fibrosi-cistica-beta,"MALATTIE GENETICHE (14)- Ricerca Fibrosi Cistica, Beta Talassemia, Anemia Falciforme",250.0,,,,0,NO_DATI_GIPO
malto-ige-specifiche,MALTO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
mandarino-ige-specifiche,MANDARINO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
mandorla-ige-specifiche,MANDORLA (IgE SPECIFICHE),12.5,12.5,2025-09-13,12.5,1,OK
manganese-plasmatico,MANGANESE PLASMATICO,21.0,,,,0,NO_DATI_GIPO
manganese-urine-f-t,MANGANESE URINE F.T.,27.0,,,,0,NO_DATI_GIPO
manganese-urine-i-t,MANGANESE URINE I.T.,21.0,,,,0,NO_DATI_GIPO
margherita-dei-prati-chrysantemum-leucanthemum-ige,MARGHERITA DEI PRATI (CHRYSANTEMUM LEUCANTHEMUM) (IgE SPECIFICHE),14.0,,,,0,NO_DATI_GIPO
mela-ige-specifiche,MELA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
melanzana-ige-specifiche,MELANZANA (IgE SPECIFICHE),12.5,12.5,2026-04-30,12.5,4,OK
melone-ige-specifiche,MELONE (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
mercurio-urine-f-t,MERCURIO URINE F.T.,27.0,26.01,2026-01-30,26.01,1,MISMATCH
mercurio-urine-i-t,MERCURIO URINE I.T.,27.0,,,,0,NO_DATI_GIPO
merluzzo-ige-specifiche,MERLUZZO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
metabolismo-degli-zuccheri,METABOLISMO DEGLI ZUCCHERI,37.0,,,,0,NO_DATI_GIPO
metaboliti-reattivi-dell-ossigeno-derivati-dei-rad,METABOLITI REATTIVI DELL'OSSIGENO (DERIVATI DEI RADICALI LIBERI),40.0,40.0,2025-12-05,40.0,6,OK
metadone-test-di-conferma,METADONE - TEST DI CONFERMA,168.2,,,,0,NO_DATI_GIPO
metaemoglobina,METAEMOGLOBINA,12.5,12.5,2025-11-15,12.5,1,OK
metanefrine-plasmatiche-libere,METANEFRINE PLASMATICHE LIBERE,40.0,40.0,2026-06-29,40.0,1,OK
metanefrine-urine-24h,METANEFRINE URINE 24H,35.0,35.0,2026-06-29,35.0,4,OK
metanolo-urine-f-t,METANOLO URINE F.T.,20.0,,,,0,NO_DATI_GIPO
metiletilchetone-mek-urine-f-t,METILETILCHETONE (MEK) URINE F.T.,20.2,,,,0,NO_DATI_GIPO
metiletilchetone-mek-urine-i-t,METILETILCHETONE (MEK) URINE I.T.,20.2,,,,0,NO_DATI_GIPO
metilisobutilchetone-mibk-urine-f-t,METILISOBUTILCHETONE (MIBK) URINE F.T.,50.0,,,,0,NO_DATI_GIPO
microalbuminuria,MICROALBUMINURIA,6.8,6.8,2026-06-25,6.8,12,OK
microalbuminuria-urine-24h,MICROALBUMINURIA URINE 24H,6.8,6.8,2026-06-29,6.8,3,OK
miele-ige-specifiche,MIELE (IgE SPECIFICHE),20.0,,,,0,NO_DATI_GIPO
mioglobina,MIOGLOBINA,12.0,12.0,2026-03-24,12.0,3,OK
mirtillo-ige-specifiche,MIRTILLO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
misurazione-pressione-arteriosa,MISURAZIONE PRESSIONE ARTERIOSA,5.0,5.0,2026-03-30,5.0,2,OK
mitili-ige-specifiche,MITILI (IgE SPECIFICHE),12.5,12.5,2026-06-05,12.5,1,OK
mix-graminacee,MIX GRAMINACEE,22.0,22.0,2026-06-16,22.0,2,OK
modulo-03-esami-del-sangue-unisalute,MODULO 03 ESAMI DEL SANGUE  UNISALUTE,44.42,44.42,2026-06-11,44.42,98,OK
modulo-25-gruppo-14-esami-del-sangue-unisalute,MODULO 25 (GRUPPO 14 ESAMI DEL SANGUE) UNISALUTE,40.51,40.51,2026-06-30,40.51,121,OK
monometilformammide-mmf-urine-f-t,MONOMETILFORMAMMIDE (MMF) URINE F.T.,22.0,,,,0,NO_DATI_GIPO
mono-test,MONO-TEST,18.0,18.0,2026-05-28,18.0,12,OK
mounjaro-7-5-mg-start-pack-progetto-slim-care-part,"Mounjaro 7,5 mg -Start Pack - progetto Slim Care - parte di prestazione sanitaria complessa",395.45,435.0,2026-06-26,435.0,24,MISMATCH
mthfr1-c677t,MTHFR1 C677T,50.0,50.0,2026-06-09,50.0,5,OK
mucopolisaccaridosi-tipo-i-mps-i-analisi-del-gene-,MUCOPOLISACCARIDOSI tipo I (MPS I) Analisi del gene IDUA,690.0,,,,0,NO_DATI_GIPO
mucopolisaccaridosi-tipo-iii-b-analisi-del-gene-na,MUCOPOLISACCARIDOSI tipo III B - Analisi del gene NAGLU,690.0,,,,0,NO_DATI_GIPO
mucor-racemosus-ige-specifiche,MUCOR RACEMOSUS (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
muffe-ige-specifiche,MUFFE (IgE SPECIFICHE),18.0,,,,0,NO_DATI_GIPO
mutazione-g20210a-del-fattore-ii,Mutazione G20210A del Fattore II,90.0,90.0,2026-05-11,90.0,3,OK
mybiome-analisi-molecolare-del-microbiota-intestin,MYBIOME - ANALISI MOLECOLARE DEL MICROBIOTA INTESTINALE,450.0,450.0,2025-11-21,450.0,2,OK
mycobacterium-tuberculosis-dna,MYCOBACTERIUM TUBERCULOSIS DNA,176.9,180.0,2025-10-27,180.0,1,MISMATCH
mycoplasma-genitalium-dna,MYCOPLASMA GENITALIUM DNA,80.0,,,,0,NO_DATI_GIPO
neisseria-gonorrhoeae-esame-colturale-ricerca-su-l,NEISSERIA GONORRHOEAE ESAME COLTURALE (ricerca su Liquido seminale),15.5,15.5,2026-06-22,15.5,4,OK
neisseria-gonorrhoeae-esame-colturale-urina,NEISSERIA GONORRHOEAE ESAME COLTURALE (URINA),12.5,12.5,2026-04-11,12.5,5,OK
netilmicina,NETILMICINA,58.0,,,,0,NO_DATI_GIPO
nichel-sierico,NICHEL SIERICO,15.0,15.0,2026-04-13,15.0,4,OK
nichel-urinario-fine-turno,NICHEL URINARIO fine turno,15.0,,,,0,NO_DATI_GIPO
nichel-urinario-inizio-turno,NICHEL URINARIO inizio turno,15.0,,,,0,NO_DATI_GIPO
nickel-urine-f-t,NICKEL URINE F.T.,15.0,,,,0,NO_DATI_GIPO
nickel-urine-i-t,NICKEL URINE I.T.,15.0,,,,0,NO_DATI_GIPO
n-metilacetammide-urine-f-t,N-METILACETAMMIDE URINE F.T.,21.6,,,,0,NO_DATI_GIPO
nocciola-ige-specifiche,NOCCIOLA (IgE SPECIFICHE),12.5,12.5,2025-09-13,12.5,1,OK
nocciolo-corylus-avellana-ige-specifiche,NOCCIOLO (CORYLUS AVELLANA) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
noce-ige-specifiche,NOCE (IgE SPECIFICHE),12.5,12.5,2025-09-13,12.5,1,OK
noce-brasiliana-ige-specifiche,NOCE BRASILIANA (IgE SPECIFICHE),19.0,19.0,2025-09-13,19.0,1,OK
noce-di-california-juglans-californica-ige-specifi,NOCE DI CALIFORNIA (JUGLANS CALIFORNICA) (IgE SPECIFICHE),12.5,12.5,2025-09-13,12.5,1,OK
noce-di-cocco-ige-specifiche,NOCE DI COCCO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
normetanefrine-urine-24h,NORMETANEFRINE URINE 24H,35.0,,,,0,NO_DATI_GIPO
numero-di-dibucaina,NUMERO DI DIBUCAINA,6.0,,,,0,NO_DATI_GIPO
ogtt-curva-glicemica-in-gravidanza,OGTT  - CURVA GLICEMICA IN GRAVIDANZA,35.0,35.0,2026-06-30,35.0,108,OK
ogtt-curva-glicemica-in-gravidanza-arancia,OGTT  - CURVA GLICEMICA IN GRAVIDANZA (ARANCIA),55.0,,,,0,NO_DATI_GIPO
olivo-olea-europea-ige-specifiche,OLIVO (OLEA EUROPEA) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
olmo-ulmus-campestris-ige-specifiche,OLMO (ULMUS CAMPESTRIS) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
omocisteina,OMOCISTEINA,28.5,28.5,2026-06-29,28.5,98,OK
omocisteina-dna-mthfr-c677t-a1298c,OMOCISTEINA DNA (MTHFR) C677T + A1298C,100.0,100.0,2026-01-19,100.0,4,OK
onco-advance-brca-pap-test,Onco Advance  BRCA + PAP TEST,520.0,,,,0,NO_DATI_GIPO
onco-advance-plus-brca-pap-test,Onco Advance Plus BRCA + Pap Test,620.0,,,,0,NO_DATI_GIPO
onco-advance-risk-breast-pap-test,ONCO ADVANCE RISK BREAST + PAP TEST,820.0,820.0,2026-02-10,820.0,1,OK
onco-advance-risk-lynch-pap-test,ONCO ADVANCE RISK LYNCH + PAP TEST,690.0,,,,0,NO_DATI_GIPO
onco-advance-risk-ovarian-pap-test,ONCO ADVANCE RISK OVARIAN + PAP TEST,820.0,,,,0,NO_DATI_GIPO
oncoadvance-risk-brca-analisi-dei-geni-brca1-e-brc,OncoAdvance Risk BRCA - Analisi dei geni BRCA1 e BRCA2,520.0,520.0,2025-07-09,520.0,2,OK
ontano-alnus-incana-ige-specifiche,ONTANO (ALNUS INCANA) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
oppiacei-test-di-conferma,OPPIACEI - TEST DI CONFERMA,168.2,,,,0,NO_DATI_GIPO
origano-ige-specifiche,ORIGANO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
ormone-anti-mulleriano-amh,ORMONE ANTI-MULLERIANO (AMH),55.0,55.0,2026-06-30,55.0,75,OK
ormone-follicolo-stimolante-fsh,ORMONE FOLLICOLO STIMOLANTE (FSH),16.9,16.9,2026-06-30,16.9,172,OK
ormone-luteinizzante-lh,ORMONE LUTEINIZZANTE (LH),9.0,9.0,2026-06-30,9.0,201,OK
ormone-somatotropo-hgh,ORMONE SOMATOTROPO (HGH),16.8,16.8,2026-03-24,16.8,3,OK
ormone-tireotropo-tsh,ORMONE TIREOTROPO (TSH),10.0,10.0,2026-07-01,10.0,257,OK
ornitina-su-plasma,ORNITINA SU PLASMA,110.0,,,,0,NO_DATI_GIPO
ornitina-urinaria,ORNITINA URINARIA,110.0,,,,0,NO_DATI_GIPO
ortica-urtica-dioica-ige-specifiche,ORTICA (URTICA DIOICA) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
orto-cresolo-urine-f-t,ORTO-CRESOLO URINE F.T.,20.1,,,,0,NO_DATI_GIPO
orto-cresolo-urine-i-t,ORTO-CRESOLO URINE I.T.,20.1,,,,0,NO_DATI_GIPO
orzo-ige-specifiche,ORZO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
osmolarita-plasmatica,OSMOLARITA' PLASMATICA,15.0,,,,0,NO_DATI_GIPO
ossalati-urine,OSSALATI URINE,30.0,,,,0,NO_DATI_GIPO
osteocalcina,OSTEOCALCINA,36.0,36.0,2026-03-03,36.0,4,OK
ostrica-ige-specifiche,OSTRICA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
oxcarbazepina,OXCARBAZEPINA,19.2,,,,0,NO_DATI_GIPO
pack-cardio-plus,PACK CARDIO PLUS,85.0,85.0,2026-05-06,85.0,3,OK
pack-donna-under-40,Pack donna under 40,106.42,106.42,2025-08-26,106.42,2,OK
pack-esami-percorso-obesit,Pack Esami percorso Obesità,70.0,70.0,2026-07-01,70.0,123,OK
pack-obesita-under-18,PACK OBESITA UNDER 18,130.0,130.0,2025-11-17,130.0,1,OK
pack-smart-base,PACK SMART BASE,22.47,,,,0,NO_DATI_GIPO
pack-ultra-base,Pack ultra base,46.79,,,,0,NO_DATI_GIPO
paleino-odoroso-anthoxanthum-odoratum-ige-specific,PALEINO ODOROSO (ANTHOXANTHUM ODORATUM) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
paleo-bromus-inermis-ige-specifiche,PALEO (BROMUS INERMIS) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
paleo-dei-prati-festuca-elatior-ige-specifiche,PALEO DEI PRATI (FESTUCA ELATIOR) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
pannello-les-ss-lupus-eritematoso-sistemico-sindro,PANNELLO LES/SS (LUPUS ERITEMATOSO SISTEMICO)/(SINDROME DI SJÖGREN),120.0,,,,0,NO_DATI_GIPO
papaia-ige-specifiche,PAPAIA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
papp-a-per-bitest,PAPP-A per BITEST,8.3,8.3,2025-08-01,8.3,1,OK
parassita-malarico-ricerca-antigenica,PARASSITA MALARICO RICERCA ANTIGENICA,125.1,,,,0,NO_DATI_GIPO
parmigiano-ige-specifiche,PARMIGIANO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
paroxetina,PAROXETINA,229.6,,,,0,NO_DATI_GIPO
parvovirus-b19-dna,PARVOVIRUS B19 DNA,100.0,,,,0,NO_DATI_GIPO
patata-ige-specifiche,PATATA (IgE SPECIFICHE),12.5,12.5,2026-04-30,12.5,1,OK
pcr-alta-sensibilita,PCR ALTA SENSIBILITA',22.0,22.0,2026-05-26,22.0,6,OK
penicillina-g-ige-specifiche,PENICILLINA G - IGE Specifiche,25.0,,,,0,NO_DATI_GIPO
penicillina-v-ige-specifiche,PENICILLINA V - IGE Specifiche,25.0,,,,0,NO_DATI_GIPO
penicillium-notatum-ige-specifiche,PENICILLIUM NOTATUM (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
pepe-nero-ige-specifiche,PEPE NERO (IgE SPECIFICHE),19.0,19.0,2026-03-02,19.0,1,OK
pepe-verde-ige-specifiche,PEPE VERDE (IgE SPECIFICHE),19.0,19.0,2026-03-02,19.0,1,OK
peperone-ige-specifiche,PEPERONE (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
pera-ige-specifiche,PERA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
percentuale-di-saturazione-di-transferrina,PERCENTUALE DI SATURAZIONE DI TRANSFERRINA,3.0,3.0,2026-06-24,3.0,7,OK
percloroetilene-ematico,PERCLOROETILENE EMATICO,19.9,,,,0,NO_DATI_GIPO
percloroetilene-urine-f-t,PERCLOROETILENE URINE F.T.,19.9,,,,0,NO_DATI_GIPO
percloroetilene-urine-i-t,PERCLOROETILENE URINE I.T.,19.9,,,,0,NO_DATI_GIPO
pesca-ige-specifiche,PESCA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
ph-ematico,PH EMATICO,11.0,,,,0,NO_DATI_GIPO
phenobarbital-gardenale,PHENOBARBITAL (GARDENALE),22.0,,,,0,NO_DATI_GIPO
pino-pinus-strobus-ige-specifiche,PINO (PINUS STROBUS) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
pinolo-ige-specifiche,PINOLO (IgE SPECIFICHE),19.0,19.0,2025-09-13,19.0,1,OK
piombemia,PIOMBEMIA,22.0,22.0,2026-01-30,22.0,1,OK
piombo-urine-f-t,PIOMBO URINE F.T.,11.0,,,,0,NO_DATI_GIPO
piombo-urine-i-t,PIOMBO URINE I.T.,11.0,,,,0,NO_DATI_GIPO
pioppo-populos-deltoides-ige-specifiche,PIOPPO (POPULOS DELTOIDES) (IgE SPECIFICHE),14.0,,,,0,NO_DATI_GIPO
piruvatochinasi-eritrocitaria,PIRUVATOCHINASI ERITROCITARIA,67.9,,,,0,NO_DATI_GIPO
pisello-ige-specifiche,PISELLO (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
pistacchio-ige-specifiche,PISTACCHIO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
piume-d-anatra-ige-specifiche,PIUME D'ANATRA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
piume-di-canarino-ige-specifiche,PIUME DI CANARINO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
piume-di-gallina-ige-specifiche,PIUME DI GALLINA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
piume-d-oca-ige-specifiche,PIUME D'OCA (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
plasminogeno,PLASMINOGENO,30.0,,,,0,NO_DATI_GIPO
platano-platanus-acerifolia-ige-specifiche,PLATANO (PLATANUS ACERIFOLIA) (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
platessa-ige-specifiche,PLATESSA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
pol-d5-polistes-dominulus,POL D5 POLISTES DOMINULUS,19.0,,,,0,NO_DATI_GIPO
polipeptide-pancreatico,POLIPEPTIDE PANCREATICO,115.4,,,,0,NO_DATI_GIPO
polpo-ige-specifiche,POLPO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
polvere-di-casa-ige-specifiche,POLVERE DI CASA (IgE SPECIFICHE),12.5,12.5,2025-09-13,12.5,1,OK
polvere-di-grano-ige-specifiche,POLVERE DI GRANO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
pomodoro-ige-specifiche,POMODORO (IgE SPECIFICHE),12.5,12.5,2026-04-30,12.5,1,OK
pompelmo-ige-specifiche,POMPELMO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
porfirine-totali-urine-24h,PORFIRINE TOTALI URINE 24H,48.2,,,,0,NO_DATI_GIPO
potassio,POTASSIO,4.8,4.8,2026-06-29,4.8,319,OK
potassio-urine-24h,POTASSIO URINE 24H,3.7,,,,0,NO_DATI_GIPO
potenziale-biologico-antiossidante-bap,POTENZIALE BIOLOGICO ANTIOSSIDANTE (BAP),35.0,35.0,2025-12-05,35.0,2,OK
prealbumina,PREALBUMINA,9.0,,,,0,NO_DATI_GIPO
prelievo-a-domicilio,Prelievo a domicilio,15.0,,,,0,NO_DATI_GIPO
prelievo-microbiologico,PRELIEVO MICROBIOLOGICO,25.0,,,,0,NO_DATI_GIPO
prelievo-venoso,PRELIEVO VENOSO,3.5,3.5,2026-07-01,3.5,3136,OK
prelievo-venoso,PRELIEVO VENOSO,3.5,3.5,2026-07-01,3.5,3136,OK
prezzemolo-ige-specifiche,PREZZEMOLO (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
primidone,PRIMIDONE,17.0,,,,0,NO_DATI_GIPO
probnp,ProBNP,51.0,51.0,2026-06-11,51.0,8,OK
procalcitonina,PROCALCITONINA,34.0,34.0,2026-06-29,34.0,10,OK
prodotti-degradazione-fibrinogeno-fdp,PRODOTTI DEGRADAZIONE FIBRINOGENO (FDP),100.0,,,,0,NO_DATI_GIPO
profilo-anticorpi-anti-msa-anticorpi-miosite-speci,PROFILO ANTICORPI ANTI MSA (Anticorpi miosite specifici),145.0,,,,0,NO_DATI_GIPO
profilo-glicemico,PROFILO GLICEMICO,3.5,,,,0,NO_DATI_GIPO
profilo-remautologico,PROFILO REMAUTOLOGICO,102.9,,,,0,NO_DATI_GIPO
profilo-trombofilico-autoanticorpi,Profilo Trombofilico Autoanticorpi,411.3,,,,0,NO_DATI_GIPO
progesterone,PROGESTERONE,8.5,8.5,2026-07-01,8.5,209,OK
prolattina,PROLATTINA,10.0,10.0,2026-06-22,10.0,103,OK
prolattina-curva,PROLATTINA CURVA,7.5,70.0,2026-05-08,70.0,1,MISMATCH
propeptide-amino-terminale-del-procollagene-tipo-1,PROPEPTIDE AMINO-TERMINALE DEL PROCOLLAGENE TIPO 1 (P1NP),45.0,45.0,2026-06-22,45.0,3,OK
proteina-c-coagulativa,proteina C COAGULATIVA,11.0,11.0,2026-06-11,11.0,18,OK
proteina-c-funzionale,PROTEINA C FUNZIONALE,15.0,15.0,2026-06-13,15.0,2,OK
proteina-c-reattiva-pcr,PROTEINA C REATTIVA (PCR),4.6,4.6,2026-06-29,4.6,279,OK
proteina-legante-il-retinolo,Proteina Legante il Retinolo,22.5,,,,0,NO_DATI_GIPO
proteina-s-libera,PROTEINA S LIBERA,25.0,25.0,2026-06-13,25.0,22,OK
proteine-totali,PROTEINE TOTALI,5.4,5.4,2026-06-29,5.4,253,OK
proteine-totali-urine-24h,PROTEINE TOTALI URINE 24H,3.5,3.5,2026-06-24,3.5,7,OK
proteinuria-di-bence-jones,PROTEINURIA DI BENCE-JONES,28.0,28.0,2026-05-14,28.0,1,OK
prugna-ige-specifiche,PRUGNA (IgE SPECIFICHE),19.0,,,,0,NO_DATI_GIPO
psa-libero-free-psa,PSA LIBERO (FREE-PSA),12.0,12.0,2026-06-23,12.0,71,OK
psa-reflex,PSA REFLEX,22.0,22.0,2026-06-27,22.0,69,OK
pth-intatto-paratormone,PTH INTATTO (PARATORMONE),12.0,12.0,2026-06-24,12.0,45,OK
quantiferon,QUANTIFERON,130.0,130.0,2026-06-03,130.0,3,OK
quercia-bianca-quercus-alba-ige-specifiche,QUERCIA BIANCA (QUERCUS ALBA) (IgE SPECIFICHE),12.5,,,,0,NO_DATI_GIPO
rame-urine-24-ore,RAME URINE 24 ORE,12.9,12.9,2026-05-25,12.9,4,OK
rame-urine-f-t,RAME URINE F.T.,9.9,,,,0,NO_DATI_GIPO
raschiamento-ungueale-dito-del-piede,RASCHIAMENTO UNGUEALE (dito del piede),30.0,30.0,2026-06-30,30.0,19,OK
raschiamento-ungueale-dito-mano-dx,RASCHIAMENTO UNGUEALE (dito mano DX),20.0,20.0,2025-12-23,20.0,1,OK
rast-toxocara-toxocara-canis,RAST TOXOCARA (TOXOCARA CANIS),18.5,,,,0,NO_DATI_GIPO
reagente-lactate-dehydrogenase-ldh,REAGENTE LACTATE DEHYDROGENASE (LDH),4.9,,,,0,NO_DATI_GIPO
recettore-solubile-della-transferrina,RECETTORE SOLUBILE DELLA TRANSFERRINA,43.0,,,,0,NO_DATI_GIPO
recettori-interleuchina-2,RECETTORI INTERLEUCHINA 2,155.0,,,,0,NO_DATI_GIPO
renina-ortostatismo,RENINA (ORTOSTATISMO),25.0,25.0,2026-06-29,25.0,1,OK
resistenza-alla-proteina-c-attivata-apc-r,RESISTENZA ALLA PROTEINA C ATTIVATA (APC-R),20.0,20.0,2026-06-30,20.0,15,OK
resistenza-osmotica-eritrocitaria-simmel,RESISTENZA OSMOTICA  ERITROCITARIA (SIMMEL),28.0,,,,0,NO_DATI_GIPO
resistenza-osmotica-eritrocitaria-globulare-r-o-e-,RESISTENZA OSMOTICA ERITROCITARIA/GLOBULARE (R.O.E./R.O.G.),27.6,,,,0,NO_DATI_GIPO
reticolociti,RETICOLOCITI,12.5,12.5,2025-08-23,12.5,3,OK
reuma-test-fattore-reumatoide,REUMA TEST (FATTORE REUMATOIDE),7.2,7.2,2026-06-22,7.2,35,OK
ricerca-mycoplasmi-e-ureaplasmi-tampone-vaginale,RICERCA  MYCOPLASMI E UREAPLASMI TAMPONE VAGINALE,18.5,18.5,2026-03-30,18.5,12,OK
ricerca-ag-chlamydia,RICERCA Ag CHLAMYDIA,8.5,8.5,2026-06-24,8.5,81,OK
ricerca-antigene-legionella,Ricerca antigene Legionella,62.0,,,,0,NO_DATI_GIPO
ricerca-asbesto-e-siderociti,RICERCA ASBESTO E SIDEROCITI,36.4,,,,0,NO_DATI_GIPO
ricerca-campylobacter-su-feci,Ricerca Campylobacter su feci,22.0,22.0,2025-12-12,22.0,2,OK
ricerca-candida-nelle-feci,RICERCA CANDIDA NELLE FECI,25.0,,,,0,NO_DATI_GIPO
